a0a3c30b 2025-09-10  Initial commit
28d7d3e2 2025-09-10  chore(config): lock clean baseline for rules.ts and add missing-params checker
aeb9eabd 2025-09-10  tests: strengthen RuleResult assertions; feat(ivCrush): include z-score in result
9f4a6cc0 2025-09-10  chore: empty commit to mark branch
760a4898 2025-09-10  (origin/tests/strengthen-and-ivcrush) chore(project): add full project artifacts (dist, coverage) and test/type updates
08494b47 2025-09-10  chore: add complete project files and directories
5a88e78c 2025-09-10  chore: add .gitignore/.gitattributes and CI workflow
87b16904 2025-09-10  chore: remove generated artifacts from index; add .gitignore and CI workflow
f87c1ff5 2025-09-10  ci: upload dist and coverage as workflow artifacts
f65b5c34 2025-09-10  chore: merge cleanup/remove-generated (remove generated artifacts and add CI and artifact upload)
74867b16 2025-09-10  (tag: v0.1.0, origin/fixes/npm-audit-20250910, fixes/npm-audit-20250910) docs: add README; ci: add release workflow to publish dist as asset
68534ea8 2025-09-10  chore(deps): apply npm audit fix --force (squashed) (#4)
42a39b2a 2025-09-10  chore: remove generated artifacts from index (#5)
7b0bce15 2025-09-11  ci: add integration job for mock WS tests (#6)
ccbf1a79 2025-09-11  fix(ci): disable Zerodha WebSocket during CI/tests (#7)
8e9846c5 2025-09-12  ci/fix integration path (#9)
b62abb5b 2025-09-12  test(zerodha): cleanupAsync, deterministic integration test, bump axios
7376a061 2025-09-12  chore: sync backend package-lock (axios bump) (#11)
ee504581 2025-09-12  (tag: v1.0.1, tmp/release) ci: fail on high/critical npm audit (#12)
68b20906 2025-09-12  docs: split RULES into smaller files and add defaults.json
0abf851a 2025-09-12  chore(docs): add defaults validator and CI check (#14)
69582d2e 2025-09-12  chore: ignore backend/dist and backend/coverage
ab87741e 2025-09-12  chore: ignore backend dist and coverage artifacts
e5440be0 2025-09-12  docs: add CONTRIBUTING guidance and explain validator placement
35a381c1 2025-09-12  chore(backup): commit generated dist/coverage and temporary artifacts
a399544a 2025-09-12  chore: untrack backend/dist and backend/coverage
0b6b590f 2025-09-12  chore: remove generated artifacts from working tree after backup
e33756e4 2025-09-12  ci: add workflow to prevent committing backend/dist or backend/coverage
d233a7e8 2025-09-12  chore: add husky pre-commit hook to block generated artifacts
b8b228d6 2025-09-12  chore(artifacts): restore built dist rule JS files from history
6db0da57 2025-09-12  docs: add PR draft for artifact-restore/dist-rules
17c1b0b9 2025-09-12  chore(husky): block pushes by default; opt-in via ALLOW_PUSH or git config
4a7a4450 2025-09-12  (origin/artifact-restore/dist-rules) feat(ci): conservative pre-push hook allowing CI and running local checks; add PR draft
6e6b47f3 2025-09-12  (artifact-restore/dist-rules) chore(ci): add milestone publish script and README instructions
b54f5457 2025-09-12  Zerodha: harden reconnect and token refresh + test helpers; add unit tests for reconnect, token refresh, and subscribe
e2effa4e 2025-09-12  docs(PR): add draft PR description for zerodha hardening
06f436b3 2025-09-12  tests(integration): ensure zerodha extra integration test tracked; update project plan and lockfile
a00a0f1d 2025-09-12  docs(milestone): add CI/CD & milestone publish notes; update STATUS and add PR draft for Zerodha milestone
9de5f973 2025-09-12  chore: mark milestone done for Zerodha Live Integration
2ce39ad5 2025-09-12  (origin/feature/zerodha-hardening) docs(status): mark Zerodha milestone done and add PR link (#15)
6ec97b69 2025-09-12  Merge pull request #15 from nandaaiinnovation-creator/feature/zerodha-hardening
f0e47acf 2025-09-13  chore(infra): base infra & DB migrations (#16)
2b2c98b3 2025-09-13  chore(ci): tidy workspace
98ef3fc1 2025-09-13  chore(ci): remove saved workflow log
751f979b 2025-09-13  feat(signal): add SignalOrchestrator, tests, and rules engine hook (opt-in)
d42f0b9d 2025-09-13  chore: add eslint, lint/typecheck scripts, relax rules to allow initial CI pass; update package-lock
ca3d460a 2025-09-13  chore(lint): fix lint warnings in newly added files; add eslint config
02f66d94 2025-09-13  chore(docs): add CI acceptance criteria to STATUS.md and PR template; add Tech Debt items
401da2fe 2025-09-13  chore(lint): allow ESLint to include tests via tsconfig.eslint.json; point parserOptions to it
